--------------------------Start  SMS_EMOA  optimization--------------------------
Trial 15 finished with value: 0.6305348392379996 and parameters: {'crossover_prob': 0.9862815078582822, 'crossover_eta': 7, 'mutation_prob': 0.3676323131993532, 'mutation_eta': 21, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 15 finished with best value: 0.6305348392379996 and parameters: {'crossover_prob': 0.9862815078582822, 'crossover_eta': 7, 'mutation_prob': 0.3676323131993532, 'mutation_eta': 21, 'sampling': 'LHS'}. 
Trial 6 finished with value: 0.8268113346853324 and parameters: {'crossover_prob': 0.9012061925789696, 'crossover_eta': 27, 'mutation_prob': 0.39109595921753737, 'mutation_eta': 30, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 14 finished with value: 0.7333921410374438 and parameters: {'crossover_prob': 0.7836331202691844, 'crossover_eta': 29, 'mutation_prob': 0.7285655890056726, 'mutation_eta': 22, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 1 finished with value: 0.7430567316963537 and parameters: {'crossover_prob': 0.7079443230958472, 'crossover_eta': 6, 'mutation_prob': 0.5619024717516611, 'mutation_eta': 20, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 5 finished with value: 0.9167773574468471 and parameters: {'crossover_prob': 0.612888862827219, 'crossover_eta': 12, 'mutation_prob': 0.41407802228798807, 'mutation_eta': 29, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 11 finished with value: 0.7660423369422146 and parameters: {'crossover_prob': 0.3743434154149373, 'crossover_eta': 5, 'mutation_prob': 0.7562832537736044, 'mutation_eta': 8, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 0 finished with value: 0.9475895093463617 and parameters: {'crossover_prob': 0.4158067943185788, 'crossover_eta': 24, 'mutation_prob': 0.7143565455538881, 'mutation_eta': 22, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 7 finished with value: 0.7831024774922605 and parameters: {'crossover_prob': 0.47134142045847083, 'crossover_eta': 6, 'mutation_prob': 0.5105731538345715, 'mutation_eta': 18, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 2 finished with value: 0.9463256462539761 and parameters: {'crossover_prob': 0.4321567686721999, 'crossover_eta': 4, 'mutation_prob': 0.5061157533864727, 'mutation_eta': 22, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 13 finished with value: 0.7932725975555973 and parameters: {'crossover_prob': 0.5391346292826305, 'crossover_eta': 19, 'mutation_prob': 0.19908962891009507, 'mutation_eta': 20, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 4 finished with value: 1.2339530998431356 and parameters: {'crossover_prob': 0.3713586899485083, 'crossover_eta': 21, 'mutation_prob': 0.5852736177509794, 'mutation_eta': 13, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 12 finished with value: 2.2133459803816806 and parameters: {'crossover_prob': 0.050304001907195195, 'crossover_eta': 24, 'mutation_prob': 0.8092665662543341, 'mutation_eta': 3, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 8 finished with value: 1.0754863568982236 and parameters: {'crossover_prob': 0.22490003269910763, 'crossover_eta': 28, 'mutation_prob': 0.5866308514501006, 'mutation_eta': 14, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 18 finished with value: 1.0918540009298767 and parameters: {'crossover_prob': 0.3529167344445535, 'crossover_eta': 17, 'mutation_prob': 0.9764780466421865, 'mutation_eta': 8, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 3 finished with value: 1.0512196601681774 and parameters: {'crossover_prob': 0.23145320338962772, 'crossover_eta': 18, 'mutation_prob': 0.38854054398106175, 'mutation_eta': 9, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 21 finished with value: 0.657693442581259 and parameters: {'crossover_prob': 0.8956012135050422, 'crossover_eta': 15, 'mutation_prob': 0.5800948085659858, 'mutation_eta': 18, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 9 finished with value: 0.9539641369026224 and parameters: {'crossover_prob': 0.26999638715741714, 'crossover_eta': 15, 'mutation_prob': 0.3134888550400281, 'mutation_eta': 11, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 22 finished with value: 0.8529765513684068 and parameters: {'crossover_prob': 0.8690640454547429, 'crossover_eta': 29, 'mutation_prob': 0.696056816579189, 'mutation_eta': 27, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 25 finished with value: 0.692805133497579 and parameters: {'crossover_prob': 0.9981832612708484, 'crossover_eta': 13, 'mutation_prob': 0.014338679021728251, 'mutation_eta': 9, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 20 finished with value: 0.6595064775814232 and parameters: {'crossover_prob': 0.8100320989890123, 'crossover_eta': 4, 'mutation_prob': 0.03230361220924649, 'mutation_eta': 10, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 26 finished with value: 0.7004942982523177 and parameters: {'crossover_prob': 0.9714763496118756, 'crossover_eta': 14, 'mutation_prob': 0.9429231121557177, 'mutation_eta': 25, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 27 finished with value: 0.6793401645327918 and parameters: {'crossover_prob': 0.9799970821376366, 'crossover_eta': 13, 'mutation_prob': 0.9813523490187089, 'mutation_eta': 26, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 17 finished with value: 1.2678106196952372 and parameters: {'crossover_prob': 0.39879178825802064, 'crossover_eta': 30, 'mutation_prob': 0.5188396716079848, 'mutation_eta': 30, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 10 finished with value: 0.7639017278972954 and parameters: {'crossover_prob': 0.33538945930886865, 'crossover_eta': 20, 'mutation_prob': 0.025962573276479994, 'mutation_eta': 21, 'sampling': 'FloatRandomSampling'}. Best is trial 15 with value: 0.6305348392379996.
Trial 28 finished with value: 0.7682037830180333 and parameters: {'crossover_prob': 0.9635349270597074, 'crossover_eta': 12, 'mutation_prob': 0.9272683586126134, 'mutation_eta': 26, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
Trial 29 finished with value: 0.7158775015195132 and parameters: {'crossover_prob': 0.9780551021970879, 'crossover_eta': 11, 'mutation_prob': 0.037927369046038995, 'mutation_eta': 25, 'sampling': 'LHS'}. Best is trial 15 with value: 0.6305348392379996.
